epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,83960.6,0.55779,0.43104,0.00703,0.88521,0.87111,0.89064,0.74451,0.65331,0.50661,0.01331,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,84953.7,0.55721,0.43009,0.007,0.88008,0.87179,0.89026,0.74368,0.65189,0.51244,0.01332,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,85947,0.54987,0.42148,0.00694,0.88124,0.86998,0.88993,0.74404,0.65341,0.51199,0.01337,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,86940.7,0.54583,0.41503,0.00681,0.8853,0.86516,0.88961,0.74401,0.65324,0.51458,0.01338,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,87931.2,0.53644,0.40749,0.00669,0.88497,0.86584,0.88886,0.74339,0.65325,0.51679,0.01337,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,88927.7,0.54955,0.30601,0.00916,0.88503,0.86689,0.88845,0.74417,0.65335,0.52214,0.01336,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,89894.5,0.53564,0.2918,0.00881,0.87767,0.87202,0.88825,0.74375,0.65499,0.52266,0.0134,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,90861.4,0.52492,0.28464,0.00863,0.88169,0.87158,0.88757,0.7432,0.65594,0.5235,0.01344,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,91826.8,0.51778,0.28201,0.00846,0.87999,0.87298,0.88713,0.7428,0.65582,0.52506,0.01345,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,92796.3,0.51372,0.27296,0.00836,0.87624,0.88247,0.88828,0.74347,0.65535,0.52574,0.01344,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,93765.6,0.50049,0.26189,0.00806,0.88204,0.87398,0.88778,0.74323,0.65773,0.5248,0.01356,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,94743.9,0.49183,0.25075,0.0079,0.89796,0.86117,0.88645,0.74294,0.66043,0.52597,0.01363,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,95751.1,0.48596,0.24357,0.00775,0.87874,0.87742,0.88598,0.74313,0.65959,0.52716,0.01364,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,96727.9,0.47547,0.23351,0.00758,0.87749,0.8798,0.88513,0.74161,0.65961,0.53573,0.01368,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,97708.6,0.46966,0.22883,0.00746,0.87579,0.88001,0.88415,0.7417,0.65956,0.5406,0.0137,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
